timeframe,horizon,threshold,voladj,%BUY,%HOLD,%SELL,%TRADE,entropy,persist_lag1,SNR,MI,score_entropy,score_density,score_snr,score_persist,score_mi,composite_score
2h,6,0.5,voladj,26.1,49.9,23.9,50.1,1.5,0.693,0.0311,0.6168,0.8657937805456964,0.555772994128071,0.6343490287137145,0.021216407493463096,0.8143203881024512,0.5808641894188415
2h,5,0.5,voladj,25.9,50.7,23.4,49.3,1.492,0.655,0.0286,0.6214,0.8527004908588051,0.5401174168286886,0.5650969513432218,0.07496463945191445,0.8282766987778284,0.5734524290561405
2h,3,0.5,voladj,25.1,52.2,22.8,47.8,1.476,0.514,0.0226,0.6299,0.8265139114850222,0.5107632093923469,0.3988919656540388,0.27439886856090534,0.8540655337214607,0.5715491166509329
2h,4,0.5,voladj,25.3,51.4,23.3,48.6,1.485,0.597,0.0258,0.6244,0.8412438623827752,0.5264187866917293,0.48753462468826964,0.15700141454639305,0.8373786405226397,0.5701087268593682
4h,6,0.75,voladj,20.1,62.1,17.8,37.9,1.335,0.699,0.0443,0.6702,0.5957446807535605,0.31702544031249114,0.9999999972299168,0.012729844552654912,0.9763349511600924,0.5613374692814166
1h,2,0.5,voladj,24.8,51.6,23.6,48.4,1.483,0.366,0.0119,0.6243,0.8379705399610523,0.5225048923668836,0.10249307450832944,0.4837340877675058,0.8370752424644794,0.5568003322884787
4h,5,0.75,voladj,19.8,62.7,17.5,37.3,1.324,0.662,0.0405,0.659,0.577741407434085,0.30528375733795443,0.8947368396267678,0.06506364935430486,0.9423543686461303,0.5388053564192463
1h,3,0.5,voladj,25.1,51.4,23.5,48.6,1.485,0.514,0.0146,0.6235,0.8412438623827752,0.5264187866917293,0.1772853180684617,0.27439886856090534,0.8346480579991966,0.5311287689597926
1h,4,0.5,voladj,25.2,51.4,23.4,48.6,1.485,0.595,0.0167,0.6242,0.8412438623827752,0.5264187866917293,0.23545706305967568,0.15983026885999574,0.836771844406319,0.5201679659789218
1h,6,0.5,voladj,25.4,51.0,23.5,49.0,1.489,0.683,0.0204,0.6222,0.847790507226221,0.5342465753414203,0.3379501375680052,0.03536067906147644,0.8307038832431115,0.5180646876872024
1h,5,0.5,voladj,25.3,51.1,23.7,48.9,1.488,0.646,0.0186,0.6218,0.8461538460153594,0.5322896281789975,0.2880886418612502,0.08769448386312662,0.8294902910104701,0.5175765559360852
4h,4,0.75,voladj,19.1,63.9,17.1,36.1,1.305,0.614,0.0364,0.6257,0.5466448444277175,0.2818003913888811,0.7811634327391596,0.13295615288077,0.8413228152787249,0.5020436288005002
4h,1,0.75,voladj,16.8,67.5,15.7,32.5,1.235,-0.007,0.0188,0.5406,0.4320785596674177,0.2113502935416608,0.2936288080508897,0.9915134370591919,0.5831310677842441,0.49478780781483955
4h,3,0.75,voladj,18.4,64.8,16.8,35.2,1.288,0.534,0.032,0.6013,0.5188216038430734,0.264187866927076,0.659279776567092,0.2461103254248782,0.7672936890875927,0.4787150481077164
4h,2,0.75,voladj,17.6,66.4,16.0,33.6,1.257,0.395,0.0265,0.5643,0.46808510630636885,0.23287671232831145,0.5069252063520077,0.4427157002202665,0.6550364075682535,0.45178026149194733
2h,1,0.75,voladj,16.3,68.0,15.7,32.0,1.223,-0.021,0.0129,0.5275,0.4124386251370805,0.20156555772954687,0.13019390545652657,0.9717114568639729,0.5433859221652347,0.4453117286190646
2h,6,0.75,voladj,18.4,64.5,17.1,35.5,1.294,0.685,0.0311,0.6066,0.528641571108242,0.2700587084143443,0.6343490287137145,0.03253182474787375,0.7833737861700929,0.43705437307776096
1h,1,0.75,voladj,16.7,67.4,15.9,32.6,1.236,-0.019,0.0082,0.5402,0.43371522087827896,0.2133072407040836,0.0,0.9745403111775757,0.5819174755516027,0.43328593692864203
2h,5,0.75,voladj,18.0,65.3,16.7,34.7,1.278,0.651,0.0286,0.5863,0.5024549917344591,0.2544031311149621,0.5650969513432218,0.08062234807911983,0.7217839803635364,0.41390583109560597
2h,4,0.75,voladj,17.7,66.1,16.2,33.9,1.263,0.594,0.0258,0.5697,0.47790507357153744,0.23874755381557974,0.48753462468826964,0.16124469601679703,0.6714199027089137,0.3976946287033507
2h,2,0.75,voladj,16.8,67.5,15.7,32.5,1.235,0.371,0.0184,0.5394,0.4320785596674177,0.2113502935416608,0.28254847567161084,0.47666195198349903,0.5794902910863196,0.38905532781915647
2h,3,0.75,voladj,17.4,66.8,15.8,33.2,1.248,0.515,0.0226,0.5543,0.45335515540861615,0.22504892367862034,0.3988919656540388,0.27298444140410394,0.6246966017522158,0.386428345262339
1h,2,0.75,voladj,16.9,67.1,16.0,32.9,1.243,0.37,0.0119,0.5474,0.44517184935430915,0.2191780821913519,0.10249307450832944,0.4780763791403003,0.6037621357391497,0.3618067898674461
1h,6,0.75,voladj,18.0,65.5,16.5,34.5,1.274,0.678,0.0204,0.5822,0.4959083468910134,0.2504892367901165,0.3379501375680052,0.042432814845483224,0.709344659978961,0.3565532235603185
1h,5,0.75,voladj,17.6,65.9,16.5,34.1,1.267,0.643,0.0186,0.5737,0.48445171841498313,0.24266144814042537,0.2880886418612502,0.09193776533353071,0.6835558250353287,0.34818387442608634
1h,3,0.75,voladj,17.1,66.8,16.1,33.2,1.248,0.508,0.0146,0.5525,0.45335515540861615,0.22504892367862034,0.1772853180684617,0.2828854315017135,0.619235436705329,0.3432680390077125
1h,4,0.75,voladj,17.4,66.3,16.3,33.7,1.258,0.59,0.0167,0.5631,0.46972176751723044,0.23483365949073426,0.23545706305967568,0.16690240464400252,0.651395630870329,0.34257841194873945
